label,role,dependents,share_of_library_pct
cioo,syntax constructor,3376,7.09
df-ioo,definition,3326,6.98
csubg,syntax constructor,3289,6.91
crng,syntax constructor,3286,6.9
df-subg,definition,3269,6.86
df-rng,definition,3257,6.84
ctps,syntax constructor,3058,6.42
df-topsp,definition,3041,6.39
cxrs,syntax constructor,3030,6.36
ccn,syntax constructor,3024,6.35
csg,syntax constructor,3006,6.31
df-cn,definition,2960,6.22
clmod,syntax constructor,2946,6.19
cqtop,syntax constructor,2923,6.14
df-topn,definition,2911,6.11
cxms,syntax constructor,2900,6.09
df-xms,definition,2897,6.08
df-sbg,definition,2893,6.08
cms,syntax constructor,2865,6.02
cimas,syntax constructor,2863,6.01
df-imas,definition,2860,6.01
df-ms,definition,2855,6.0
cplt,syntax constructor,2851,5.99
crli,syntax constructor,2848,5.98
df-rlim,definition,2848,5.98
ccld,syntax constructor,2840,5.96
df-cld,definition,2824,5.93
cordt,syntax constructor,2809,5.9
ccnp,syntax constructor,2799,5.88
df-cnp,definition,2797,5.87
df-lmod,definition,2784,5.85
ctx,syntax constructor,2678,5.62
cnt,syntax constructor,2647,5.56
df-ntr,definition,2642,5.55
df-tx,definition,2630,5.52
cdju,syntax constructor,2628,5.52
df-dju,definition,2628,5.52
chmeo,syntax constructor,2607,5.47
df-xrs,definition,2593,5.45
df-hmeo,definition,2589,5.44
ccl,syntax constructor,2583,5.42
df-cls,definition,2559,5.37
df-qtop,definition,2548,5.35
df-pt,definition,2543,5.34
cnei,syntax constructor,2535,5.32
cfbas,syntax constructor,2534,5.32
cxps,syntax constructor,2531,5.31
df-xps,definition,2530,5.31
df-fbas,definition,2524,5.3
df-nei,definition,2519,5.29
cpo,syntax constructor,2514,5.28
cmo,syntax constructor,2506,5.26
cfil,syntax constructor,2504,5.26
df-fil,definition,2485,5.22
ctms,syntax constructor,2481,5.21
df-tms,definition,2481,5.21
df-mod,definition,2475,5.2
cha,syntax constructor,2452,5.15
df-haus,definition,2448,5.14
cfg,syntax constructor,2415,5.07
df-fg,definition,2410,5.06
clss,syntax constructor,2394,5.03
df-poset,definition,2383,5.0
cjn,syntax constructor,2373,4.98
cflim,syntax constructor,2371,4.98
cproset,syntax constructor,2365,4.97
ctpos,syntax constructor,2363,4.96
df-tpos,definition,2359,4.95
df-flim,definition,2350,4.93
df-lss,definition,2347,4.93
df-proset,definition,2346,4.93
club,syntax constructor,2320,4.87
cglb,syntax constructor,2309,4.85
cmee,syntax constructor,2308,4.85
cfm,syntax constructor,2298,4.83
df-fm,definition,2286,4.8
cflf,syntax constructor,2277,4.78
df-flf,definition,2271,4.77
catm,syntax constructor,2256,4.74
df-lub,definition,2251,4.73
df-glb,definition,2237,4.7
clat,syntax constructor,2227,4.68
cp0,syntax constructor,2218,4.66
df-lat,definition,2188,4.59
df-join,definition,2170,4.56
cp1,syntax constructor,2147,4.51
ccvr,syntax constructor,2145,4.5
df-meet,definition,2142,4.5
chlt,syntax constructor,2134,4.48
cxnn0,syntax constructor,2132,4.48
coc,syntax constructor,2124,4.46
df-xnn0,definition,2116,4.44
df-ats,definition,2095,4.4
ccla,syntax constructor,2084,4.38
coml,syntax constructor,2079,4.37
cal,syntax constructor,2076,4.36
clc,syntax constructor,2075,4.36
df-atl,definition,2065,4.34
df-plt,definition,2063,4.33
df-cvlat,definition,2048,4.3
df-hlat,definition,2048,4.3
coppr,syntax constructor,2039,4.28
cdvds,syntax constructor,2012,4.23
csubrg,syntax constructor,2004,4.21
df-p0,definition,1994,4.19
df-covers,definition,1984,4.17
df-oppr,definition,1984,4.17
cops,syntax constructor,1965,4.13
df-subrg,definition,1965,4.13
df-oposet,definition,1957,4.11
cghm,syntax constructor,1942,4.08
cword,syntax constructor,1937,4.07
col,syntax constructor,1931,4.05
df-dvds,definition,1928,4.05
df-ol,definition,1926,4.04
df-oml,definition,1902,3.99
df-word,definition,1898,3.99
df-ghm,definition,1889,3.97
cui,syntax constructor,1880,3.95
df-clat,definition,1867,3.92
cmhm,syntax constructor,1851,3.89
cdsr,syntax constructor,1850,3.88
df-mhm,definition,1844,3.87
cfa,syntax constructor,1843,3.87
df-dvdsr,definition,1843,3.87
df-fac,definition,1827,3.84
ccncf,syntax constructor,1786,3.75
df-cncf,definition,1783,3.74
df-unit,definition,1782,3.74
clh,syntax constructor,1758,3.69
cdr,syntax constructor,1752,3.68
clsp,syntax constructor,1725,3.62
df-limsup,definition,1725,3.62
cinvr,syntax constructor,1662,3.49
ccrg,syntax constructor,1660,3.49
df-invr,definition,1660,3.49
comu,syntax constructor,1639,3.44
df-cring,definition,1624,3.41
ax-mulf,axiom,1618,3.4
climc,syntax constructor,1616,3.39
df-limc,definition,1615,3.39
cbc,syntax constructor,1613,3.39
cioc,syntax constructor,1610,3.38
df-bc,definition,1608,3.38
df-drng,definition,1603,3.37
df-ioc,definition,1603,3.37
df-omul,definition,1600,3.36
df-acn,definition,1592,3.34
wacn,syntax constructor,1592,3.34
df-p1,definition,1586,3.33
clp,syntax constructor,1584,3.33
df-lp,definition,1580,3.32
cdv,syntax constructor,1548,3.25
df-lhyp,definition,1546,3.25
df-dv,definition,1543,3.24
clspn,syntax constructor,1539,3.23
cperf,syntax constructor,1527,3.21
df-perf,definition,1527,3.21
df-lsp,definition,1501,3.15
cpmap,syntax constructor,1494,3.14
cshi,syntax constructor,1493,3.14
df-shft,definition,1493,3.14
df-pmap,definition,1490,3.13
cpadd,syntax constructor,1478,3.1
csubrng,syntax constructor,1478,3.1
df-subrng,definition,1478,3.1
df-padd,definition,1475,3.1
cpsubsp,syntax constructor,1465,3.08
df-psubsp,definition,1459,3.06
ce,syntax constructor,1437,3.02
df-ef,definition,1427,3.0
csra,syntax constructor,1421,2.98
df-sra,definition,1416,2.97
cvtx,syntax constructor,1412,2.97
clln,syntax constructor,1410,2.96
crglmod,syntax constructor,1406,2.95
df-llines,definition,1398,2.94
df-rgmod,definition,1376,2.89
chba,syntax constructor,1367,2.87
clpl,syntax constructor,1360,2.86
df-lplanes,definition,1355,2.85
csin,syntax constructor,1335,2.8
ccos,syntax constructor,1330,2.79
df-sin,definition,1329,2.79
df-cos,definition,1327,2.79
cconcat,syntax constructor,1315,2.76
cltrn,syntax constructor,1311,2.75
df-concat,definition,1289,2.71
cpws,syntax constructor,1267,2.66
df-pws,definition,1260,2.65
clvol,syntax constructor,1257,2.64
df-lvols,definition,1257,2.64
clines,syntax constructor,1253,2.63
df-lines,definition,1253,2.63
csm,syntax constructor,1250,2.62
cablo,syntax constructor,1241,2.61
cpi,syntax constructor,1241,2.61
cofr,syntax constructor,1238,2.6
df-pi,definition,1228,2.58
cotp,syntax constructor,1223,2.57
cdvr,syntax constructor,1218,2.56
cgr,syntax constructor,1218,2.56
df-dvr,definition,1217,2.56
cva,syntax constructor,1212,2.55
cgi,syntax constructor,1207,2.53
claut,syntax constructor,1192,2.5
df-grpo,definition,1191,2.5
df-ot,definition,1190,2.5
df-laut,definition,1185,2.49
cldil,syntax constructor,1181,2.48
cs1,syntax constructor,1175,2.47
df-ldil,definition,1175,2.47
ctrl,syntax constructor,1172,2.46
df-ltrn,definition,1171,2.46
df-s1,definition,1169,2.45
ax-hilex,axiom,1159,2.43
cund,syntax constructor,1158,2.43
df-undef,definition,1158,2.43
ax-riotaBAD,axiom,1153,2.42
df-ablo,definition,1149,2.41
c0v,syntax constructor,1144,2.4
ciedg,syntax constructor,1141,2.4
clvec,syntax constructor,1141,2.4
df-trl,definition,1127,2.37
df-lvec,definition,1108,2.33
ax-hfvmul,axiom,1101,2.31
cec,syntax constructor,1092,2.29
cnv,syntax constructor,1085,2.28
df-gid,definition,1079,2.27
cvc,syntax constructor,1077,2.26
ax-hv0cl,axiom,1072,2.25
ax-hfvadd,axiom,1070,2.25
df-vc,definition,1069,2.24
df-ec,definition,1062,2.23
df-nv,definition,1054,2.21
cba,syntax constructor,1051,2.21
cgcd,syntax constructor,1051,2.21
cpv,syntax constructor,1048,2.2
df-gcd,definition,1041,2.19
cns,syntax constructor,1040,2.18
df-va,definition,1040,2.18
cnmcv,syntax constructor,1039,2.18
csp,syntax constructor,1039,2.18
ax-hvmul0,axiom,1034,2.17
cmv,syntax constructor,1034,2.17
df-nmcv,definition,1034,2.17
df-sm,definition,1033,2.17
df-ba,definition,1026,2.15
clog,syntax constructor,1022,2.15
cn0v,syntax constructor,1022,2.15
df-0v,definition,1020,2.14
ax-cc,axiom,1016,2.13
crh,syntax constructor,1015,2.13
df-ofr,definition,1011,2.12
ax-hfi,axiom,998,2.1
ccmp,syntax constructor,998,2.1
df-hvsub,definition,994,2.09
df-cmp,definition,991,2.08
cgn,syntax constructor,988,2.07
df-log,definition,987,2.07
df-ginv,definition,983,2.06
df-rhm,definition,982,2.06
cprime,syntax constructor,977,2.05
clsm,syntax constructor,975,2.05
ax-his3,axiom,974,2.05
ccat,syntax constructor,971,2.04
ax-hvmulid,axiom,957,2.01
cno,syntax constructor,949,1.99
df-lsm,definition,947,1.99
ax-hvaddid,axiom,945,1.98
ax-his1,axiom,944,1.98
ax-hvass,axiom,940,1.97
ax-hvcom,axiom,932,1.96
ax-hvdistr2,axiom,928,1.95
cmps,syntax constructor,928,1.95
df-prm,definition,925,1.94
wdisj,syntax constructor,924,1.94
df-psr,definition,916,1.92
ax-his4,axiom,903,1.9
ax-his2,axiom,902,1.89
cedg,syntax constructor,899,1.89
csh,syntax constructor,898,1.89
df-sh,definition,888,1.86
cgs,syntax constructor,863,1.81
df-gdiv,definition,863,1.81
ax-hvmulass,axiom,861,1.81
clm,syntax constructor,860,1.81
df-lm,definition,860,1.81
df-hnorm,definition,859,1.8
df-disj,definition,855,1.8
cs2,syntax constructor,850,1.78
df-s2,definition,850,1.78
cims,syntax constructor,846,1.78
ax-hvdistr1,axiom,843,1.77
cnsb,syntax constructor,836,1.76
cch,syntax constructor,835,1.75
df-vs,definition,835,1.75
cmpl,syntax constructor,833,1.75
chli,syntax constructor,829,1.74
ctendo,syntax constructor,815,1.71
csur,syntax constructor,807,1.69
df-ch,definition,806,1.69
df-ims,definition,804,1.69
df-mpl,definition,803,1.69
cqs,syntax constructor,793,1.67
df-qs,definition,790,1.66
ccid,syntax constructor,788,1.65
ccmet,syntax constructor,784,1.65
df-hlim,definition,762,1.6
clts,syntax constructor,760,1.6
cort,syntax constructor,752,1.58
df-no,definition,751,1.58
ccfil,syntax constructor,750,1.57
df-tendo,definition,748,1.57
df-cfil,definition,739,1.55
cedring,syntax constructor,733,1.54
df-cmet,definition,732,1.54
ccau,syntax constructor,726,1.52
df-cau,definition,726,1.52
ccphlo,syntax constructor,724,1.52
cdvh,syntax constructor,724,1.52
cdip,syntax constructor,711,1.49
df-oc,definition,711,1.49
df-dip,definition,709,1.49
c0h,syntax constructor,708,1.49
cfrlm,syntax constructor,705,1.48
df-lts,definition,703,1.48
df-ch0,definition,702,1.47
cnzr,syntax constructor,689,1.45
df-edring,definition,689,1.45
df-ph,definition,684,1.44
df-nzr,definition,683,1.43
cdia,syntax constructor,680,1.43
ccbn,syntax constructor,679,1.43
cbday,syntax constructor,676,1.42
ccauold,syntax constructor,675,1.42
df-hcau,definition,674,1.42
df-hba,definition,673,1.41
df-cbn,definition,672,1.41
df-disoa,definition,669,1.4
df-bday,definition,667,1.4
ax-hcompl,axiom,665,1.4
df-dvech,definition,665,1.4
cdsmm,syntax constructor,664,1.39
df-dsmm,definition,662,1.39
df-frlm,definition,652,1.37
cltb,syntax constructor,651,1.37
copws,syntax constructor,649,1.36
df-opsr,definition,649,1.36
css,syntax constructor,648,1.36
df-ssp,definition,648,1.36
csubstr,syntax constructor,645,1.35
covol,syntax constructor,644,1.35
cpl1,syntax constructor,642,1.35
df-ovol,definition,639,1.34
df-substr,definition,639,1.34
df-edg,definition,634,1.33
cps1,syntax constructor,631,1.33
df-psr1,definition,629,1.32
cdib,syntax constructor,628,1.32
cslts,syntax constructor,624,1.31
cvol,syntax constructor,624,1.31
df-slts,definition,624,1.31
df-dib,definition,623,1.31
ccuts,syntax constructor,616,1.29
cdic,syntax constructor,616,1.29
df-ac,definition,611,1.28
df-ply1,definition,611,1.28
wac,syntax constructor,611,1.28
cpfx,syntax constructor,608,1.28
df-cat,definition,608,1.28
wif,syntax constructor,608,1.28
coppg,syntax constructor,603,1.27
df-oppg,definition,603,1.27
df-dic,definition,599,1.26
df-cuts,definition,598,1.26
df-pfx,definition,595,1.25
df-vol,definition,590,1.24
df-ifp,definition,584,1.23
cdih,syntax constructor,580,1.22
df-dih,definition,577,1.21
ax-ac2,axiom,574,1.21
cph,syntax constructor,573,1.2
df-shs,definition,573,1.2
cfunc,syntax constructor,567,1.19
cmade,syntax constructor,565,1.19
df-made,definition,565,1.19
df-cid,definition,563,1.18
cold,syntax constructor,555,1.17
df-old,definition,550,1.15
cmvr,syntax constructor,549,1.15
cs3,syntax constructor,544,1.14
