database,foundation,label,typecode,role,dependents,share_of_db_pct,entry_points,source_revision
set.mm,"ZFC, classical first-order",df-mamu,|-,assertion,227,0.48,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-abv,|-,assertion,223,0.47,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-pmtr,|-,assertion,223,0.47,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ccofu,class,syntax constructor,222,0.47,110,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-trls,|-,assertion,222,0.47,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-1s,|-,assertion,221,0.46,5,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cply,class,syntax constructor,219,0.46,178,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-deg1,|-,assertion,218,0.46,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",clti,class,syntax constructor,216,0.45,23,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",csplice,class,syntax constructor,216,0.45,42,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-splice,|-,assertion,216,0.45,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cnq,class,syntax constructor,215,0.45,86,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ply,|-,assertion,215,0.45,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ceq,class,syntax constructor,214,0.45,25,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cmi,class,syntax constructor,214,0.45,43,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-sumge0,|-,assertion,213,0.45,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cscott,class,syntax constructor,212,0.44,48,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cxpc,class,syntax constructor,212,0.44,63,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-scott,|-,assertion,212,0.44,14,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cmuls,class,syntax constructor,209,0.44,175,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ee,|-,assertion,209,0.44,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",crefld,class,syntax constructor,206,0.43,83,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-mi,|-,assertion,206,0.43,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-nq,|-,assertion,206,0.43,5,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",czn,class,syntax constructor,201,0.42,33,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cplusf,class,syntax constructor,198,0.42,23,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-lti,|-,assertion,198,0.42,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-xpc,|-,assertion,198,0.42,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cphl,class,syntax constructor,197,0.41,105,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-refld,|-,assertion,197,0.41,40,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",csymdif,class,syntax constructor,195,0.41,23,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-symdif,|-,assertion,194,0.41,9,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ce1,class,syntax constructor,193,0.4,39,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-evl1,|-,assertion,193,0.4,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ct1,class,syntax constructor,192,0.4,42,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-enq,|-,assertion,192,0.4,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-t1,|-,assertion,192,0.4,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-zn,|-,assertion,192,0.4,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ctmd,class,syntax constructor,191,0.4,65,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cstf,class,syntax constructor,190,0.4,11,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-salg,|-,assertion,190,0.4,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cesum,class,syntax constructor,189,0.4,105,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",culm,class,syntax constructor,189,0.4,39,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-nat,|-,assertion,189,0.4,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",csiga,class,syntax constructor,188,0.39,123,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ulm,|-,assertion,188,0.39,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-esum,|-,assertion,187,0.39,15,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
