library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Init,Init.Data.Fin.Lemmas,Fin.coe_sub_iff_lt,_private.Init.Data.Fin.Lemmas.0.Fin.coe_sub_iff_lt._proof_1_1,2,removed,
Init,Init.Data.Fin.Lemmas,Fin.coe_sub_iff_lt,_private.Init.Data.Fin.Lemmas.0.Fin.coe_sub_iff_lt._proof_1_3,2,removed,
Init,Init.Data.Fin.Lemmas,Nat.mod_eq_sub_of_lt_two_mul,_private.Init.Data.Fin.Lemmas.0.Nat.mod_eq_sub_of_lt_two_mul._proof_1_1,2,removed,
Init,Init.Data.Int.Cooper,Int.cooper_resolution_dvd_right,_private.Init.Data.Int.Cooper.0.Int.cooper_resolution_dvd_right._proof_1_1,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.add_one_tdiv,_private.Init.Data.Int.DivMod.Lemmas.0.Int.add_one_tdiv._proof_1_1,8,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.add_one_tdiv_of_pos,_private.Init.Data.Int.DivMod.Lemmas.0.Int.add_one_tdiv_of_pos._proof_1_10,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.bmod_neg_iff,_private.Init.Data.Int.DivMod.Lemmas.0.Int.bmod_neg_iff._proof_1_1,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.bmod_neg_iff,_private.Init.Data.Int.DivMod.Lemmas.0.Int.bmod_neg_iff._proof_1_4,4,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.ediv_le_iff_le_mul,_private.Init.Data.Int.DivMod.Lemmas.0.Int.ediv_le_iff_le_mul._proof_1_1,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.fdiv_fmod_unique',_private.Init.Data.Int.DivMod.Lemmas.0.Int.fdiv_fmod_unique'._proof_1_2,8,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.le_mul_iff_le_left,_private.Init.Data.Int.DivMod.Lemmas.0.Int.le_mul_iff_le_left._proof_1_1,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.mul_fdiv_self_le,_private.Init.Data.Int.DivMod.Lemmas.0.Int.mul_fdiv_self_le._proof_1_1,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.natAbs_ediv,_private.Init.Data.Int.DivMod.Lemmas.0.Int.natAbs_ediv._proof_1_4,1,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.natCast_eq_zero,_private.Init.Data.Int.DivMod.Lemmas.0.Int.natCast_eq_zero._proof_1_1,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.tdiv_tmod_unique,_private.Init.Data.Int.DivMod.Lemmas.0.Int.tdiv_tmod_unique._proof_1_1,8,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.tdiv_tmod_unique,_private.Init.Data.Int.DivMod.Lemmas.0.Int.tdiv_tmod_unique._proof_1_3,2,removed,
Init,Init.Data.Int.DivMod.Lemmas,Int.tdiv_tmod_unique',_private.Init.Data.Int.DivMod.Lemmas.0.Int.tdiv_tmod_unique'._proof_1_2,9,removed,
Init,Init.Data.Int.Gcd,Int.eq_zero_of_lcm_eq_zero,_private.Init.Data.Int.Gcd.0.Int.eq_zero_of_lcm_eq_zero._proof_1_1,4,removed,
Init,Init.Data.Int.LemmasAux,Int.eq_natCast_toNat,_private.Init.Data.Int.LemmasAux.0.Int.eq_natCast_toNat._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.lt_toNat,_private.Init.Data.Int.LemmasAux.0.Int.lt_toNat._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.mul_le_mul_of_natAbs_le,_private.Init.Data.Int.LemmasAux.0.Int.mul_le_mul_of_natAbs_le._proof_1_15,3,removed,
Init,Init.Data.Int.LemmasAux,Int.natCast_le_zero,_private.Init.Data.Int.LemmasAux.0.Int.natCast_le_zero._proof_1_1,2,removed,
Init,Init.Data.Int.LemmasAux,Int.natCast_ne_zero,_private.Init.Data.Int.LemmasAux.0.Int.natCast_ne_zero._proof_1_1,4,removed,
Init,Init.Data.Int.LemmasAux,Int.natCast_ne_zero_iff_pos,_private.Init.Data.Int.LemmasAux.0.Int.natCast_ne_zero_iff_pos._proof_1_1,3,removed,
